Fecha, Operacion, IP, Recurso
2025-02-03 14:35:55,add,192.168.192.31,papas
2025-02-03 14:36:34,add,192.168.192.31,dorilocos
2025-02-03 15:23:10,add,192.168.192.31,ret
2025-02-03 16:13:52,add,192.168.192.31,papas
2025-02-03 16:13:59,add,192.168.192.31,chetos
2025-02-03 16:22:05,add,192.168.192.31,papas
2025-02-03 16:22:12,add,192.168.192.31,dorilocos
2025-02-03 16:22:19,add,192.168.192.31,chetos
